word,label
finalmente,spanish
secar,spanish
aprendio,spanish
entrenamiento,spanish
suave,spanish
entradas,spanish
magico,spanish
nuevas,spanish
pasar,spanish
nueva,spanish
seres,spanish
animales,spanish
pangloss,spanish
inesperado,spanish
considerando,spanish
unica,spanish
amigo,spanish
empleo,spanish
hueso,spanish
curioso,spanish
desafio,spanish
escuchar,spanish
modelo,spanish
encontraba,spanish
reino,spanish
quiere,spanish
lista,spanish
hacer,spanish
torpemente,spanish
perfectamente,spanish
nadando,spanish
forma,spanish
estos,spanish
universidad,spanish
miedo,spanish
decidio,spanish
responder,spanish
ilumino,spanish
acostaba,spanish
criaturas,spanish
bordado,spanish
reanimo,spanish
dejando,spanish
seguramente,spanish
hombro,spanish
manejar,spanish
trabajos,spanish
memoria,spanish
hacia,spanish
magnifico,spanish
intentar,spanish
serio,spanish
creyo,spanish
vecinos,spanish
deberia,spanish
desgracia,spanish
veras,spanish
tarde,spanish
belleza,spanish
desmayo,spanish
cualidades,spanish
lagrimas,spanish
ninguna,spanish
roles,spanish
compartio,spanish
intrincadas,spanish
texto,spanish
tenia,spanish
entre,spanish
mantuvo,spanish
causa,spanish
conocido,spanish
informacion,spanish
jovenes,spanish
pesar,spanish
aprehension,spanish
violada,spanish
evolucion,spanish
desgraciado,spanish
construir,spanish
rodeada,spanish
dispuesta,spanish
anuncio,spanish
trataba,spanish
paseaba,spanish
distribuirlos,spanish
logro,spanish
instarla,spanish
comida,spanish
vestidos,spanish
jaime,spanish
luces,spanish
ensenar,spanish
creando,spanish
anhelo,spanish
traves,spanish
logrado,spanish
viaje,spanish
mostraria,spanish
campo,spanish
trabajo,spanish
isabel,spanish
cambiar,spanish
billy,spanish
misterioso,spanish
datos,spanish
vivienda,spanish
elegante,spanish
semillas,spanish
concedere,spanish
escuela,spanish
sistema,spanish
vivia,spanish
casualidad,spanish
interminables,spanish
deslizaria,spanish
adaptarse,spanish
ojales,spanish
invariablemente,spanish
simple,spanish
menudo,spanish
acariciaba,spanish
quien,spanish
amigables,spanish
entrenan,spanish
doctor,spanish
relacion,spanish
descubrio,spanish
trasero,spanish
revelar,spanish
regreso,spanish
volviendo,spanish
puedes,spanish
devolverlos,spanish
brackenbury,spanish
noche,spanish
encontro,spanish
regocijo,spanish
habian,spanish
cierra,spanish
cuales,spanish
cargas,spanish
hecho,spanish
vastas,spanish
sabia,spanish
revivio,spanish
florines,spanish
neuronal,spanish
disenaron,spanish
predecir,spanish
espanola,spanish
brillar,spanish
dicho,spanish
jugando,spanish
verdaderas,spanish
realmente,spanish
explorar,spanish
abandonar,spanish
asusto,spanish
significado,spanish
ofensivo,spanish
matriculado,spanish
adquirir,spanish
variedad,spanish
sentido,spanish
preservador,spanish
limpieza,spanish
persuadirla,spanish
necesidades,spanish
relevante,spanish
superando,spanish
peaslee,spanish
desbordar,spanish
cuestionarse,spanish
inquisitiva,spanish
aparecio,spanish
preguntas,spanish
suene,spanish
algoritmo,spanish
algun,spanish
subcategoria,spanish
textos,spanish
comprendio,spanish
suficiente,spanish
puntos,spanish
siguiendo,spanish
camino,spanish
utilizar,spanish
propios,spanish
distinguir,spanish
marana,spanish
maravillosas,spanish
estar,spanish
exquisitos,spanish
programacion,spanish
grandes,spanish
intrigo,spanish
magicas,spanish
mucho,spanish
diferente,spanish
entregada,spanish
debil,spanish
influenciadas,spanish
conecto,spanish
bosque,spanish
patio,spanish
representaba,spanish
intelectual,spanish
verdadero,spanish
preguntandose,spanish
importaba,spanish
desafios,spanish
misionera,spanish
senor,spanish
olvido,spanish
docena,spanish
principal,spanish
antigua,spanish
sabio,spanish
corredores,spanish
inherentes,spanish
avanzado,spanish
felices,spanish
despues,spanish
toque,spanish
confundida,spanish
reconociendo,spanish
busqueda,spanish
coherente,spanish
lineas,spanish
describia,spanish
infinita,spanish
colores,spanish
siguiente,spanish
espanol,spanish
termino,spanish
fueron,spanish
diario,spanish
vaswani,spanish
desgarrada,spanish
animados,spanish
puedo,spanish
caracteristicas,spanish
quienes,spanish
ponderar,spanish
ciudad,spanish
capturar,spanish
escuchado,spanish
luego,spanish
amigos,spanish
utilizan,spanish
especial,spanish
diferencias,spanish
resposta,spanish
representan,spanish
candide,spanish
tambien,spanish
abandonados,spanish
palabra,spanish
fowler,spanish
entidades,spanish
emocion,spanish
razon,spanish
caricias,spanish
sentia,spanish
medio,spanish
mientras,spanish
abandonaria,spanish
sonrio,spanish
fabulosa,spanish
habia,spanish
patrones,spanish
pionera,spanish
variadas,spanish
arbol,spanish
empleando,spanish
afecto,spanish
entraba,spanish
maquina,spanish
claro,spanish
estaba,spanish
introducida,spanish
brujula,spanish
recientemente,spanish
tapiz,spanish
aprender,spanish
exacta,spanish
nuestra,spanish
fuera,spanish
fielmente,spanish
inicio,spanish
poder,spanish
sutilezas,spanish
echarme,spanish
tecnicas,spanish
rincon,spanish
igual,spanish
vinagre,spanish
plata,spanish
estaban,spanish
complejidad,spanish
traer,spanish
varita,spanish
brillaba,spanish
llamado,spanish
hacian,spanish
compartir,spanish
limpio,spanish
sumergio,spanish
cristal,spanish
manual,spanish
baker,spanish
sueno,spanish
ambos,spanish
estas,spanish
iluminada,spanish
lenguajes,spanish
pudiera,spanish
estudiante,spanish
alimentacion,spanish
lidiando,spanish
porque,spanish
navegando,spanish
hermoso,spanish
sonando,spanish
historias,spanish
sonrisas,spanish
simula,spanish
capacidad,spanish
pequena,spanish
ahora,spanish
mismo,spanish
problemas,spanish
utilizando,spanish
esperaban,spanish
inteligencias,spanish
disenados,spanish
meses,spanish
antes,spanish
conmovido,spanish
neuronales,spanish
complejidades,spanish
expresado,spanish
debia,spanish
lazos,spanish
derramo,spanish
daria,spanish
vivido,spanish
consciente,spanish
fundo,spanish
estrategia,spanish
debido,spanish
requeria,spanish
durante,spanish
mendigo,spanish
francesas,spanish
avanzada,spanish
ayudar,spanish
pensamiento,spanish
cuanto,spanish
origen,spanish
clase,spanish
haber,spanish
acurrucaba,spanish
tiempo,spanish
ayudaria,spanish
peculiar,spanish
escondida,spanish
baron,spanish
amaria,spanish
algunas,spanish
quedo,spanish
cortada,spanish
representacion,spanish
apreciar,spanish
primer,spanish
aquel,spanish
siendo,spanish
imagen,spanish
adquisicion,spanish
integrar,spanish
sostuvo,spanish
convirtio,spanish
corazon,spanish
puedas,spanish
crecer,spanish
prediccion,spanish
alturas,spanish
retiro,spanish
generar,spanish
recuerda,spanish
amplia,spanish
aglomeracion,spanish
sensibles,spanish
trabajaria,spanish
capaces,spanish
transformando,spanish
representar,spanish
aprendido,spanish
culturas,spanish
resolver,spanish
protegio,spanish
donde,spanish
complejas,spanish
mantenerme,spanish
creia,spanish
debian,spanish
numeros,spanish
encontrados,spanish
ofrecio,spanish
alguna,spanish
titilaban,spanish
trabajar,spanish
alegre,spanish
muchas,spanish
redes,spanish
compasion,spanish
bailaban,spanish
hemos,spanish
misma,spanish
habiendo,spanish
cuando,spanish
singular,spanish
constantemente,spanish
comenzo,spanish
simulaciones,spanish
avance,spanish
utiliza,spanish
habitada,spanish
volvio,spanish
machine,spanish
sentidos,spanish
delantero,spanish
liberado,spanish
mejor,spanish
avanzadas,spanish
complejos,spanish
diferentes,spanish
querido,spanish
raices,spanish
establecieron,spanish
reconoces,spanish
intellis,spanish
destacaba,spanish
vivir,spanish
convertire,spanish
propia,spanish
persona,spanish
camisa,spanish
parecia,spanish
madre,spanish
lleno,spanish
probabilidad,spanish
aferro,spanish
depositado,spanish
administrada,spanish
recibieron,spanish
matrices,spanish
apasionado,spanish
ciego,spanish
abrigo,spanish
conocimiento,spanish
trajo,spanish
bulliciosos,spanish
cercana,spanish
atencion,spanish
embarcarse,spanish
adaptabilidad,spanish
producir,spanish
ellos,spanish
recopilacion,spanish
mediante,spanish
doradas,spanish
llevo,spanish
llenas,spanish
bajaba,spanish
explorando,spanish
curiosidad,spanish
intentando,spanish
sabes,spanish
repetia,spanish
bolsas,spanish
llamada,spanish
observaba,spanish
dedos,spanish
programando,spanish
temblar,spanish
estructuras,spanish
aprendizaje,spanish
complacido,spanish
cantidades,spanish
consuelo,spanish
manera,spanish
terrible,spanish
estuviera,spanish
especie,spanish
experimento,spanish
fuerte,spanish
fascinantes,spanish
tenido,spanish
hijos,spanish
carne,spanish
cuidados,spanish
pedazo,spanish
artificiales,spanish
enfrento,spanish
mostrando,spanish
existencia,spanish
siempre,spanish
mirada,spanish
indescriptible,spanish
lenguaje,spanish
reducido,spanish
empezo,spanish
lente,spanish
queda,spanish
formulacion,spanish
mostraba,spanish
miembros,spanish
parecian,spanish
sentir,spanish
ardientes,spanish
buena,spanish
reunion,spanish
costura,spanish
mejorar,spanish
innumerables,spanish
autoconciencia,spanish
sabado,spanish
anabaptista,spanish
reconocio,spanish
abarianos,spanish
esperaba,spanish
reflejara,spanish
segundo,spanish
profunda,spanish
bastante,spanish
significaba,spanish
artificial,spanish
agrego,spanish
infinito,spanish
instrucciones,spanish
abrir,spanish
comodamente,spanish
acerca,spanish
aunque,spanish
tratado,spanish
recibido,spanish
elegantes,spanish
bases,spanish
limitaciones,spanish
dorada,spanish
algoritmos,spanish
alumno,spanish
lejos,spanish
voluntad,spanish
unicamente,spanish
lugar,spanish
esencia,spanish
todos,spanish
encontrar,spanish
transformers,spanish
frios,spanish
brazos,spanish
simular,spanish
perla,spanish
vivieron,spanish
piedra,spanish
hester,spanish
herramienta,spanish
preguntar,spanish
discurso,spanish
intento,spanish
sentimientos,spanish
comun,spanish
tiene,spanish
soldados,spanish
intensidad,spanish
deseo,spanish
esforzandose,spanish
profesor,spanish
establo,spanish
pronto,spanish
pregunto,spanish
terminado,spanish
mundo,spanish
habra,spanish
joven,spanish
muerte,spanish
verlo,spanish
humanos,spanish
mayor,spanish
correspondia,spanish
sobre,spanish
penso,spanish
inteligencia,spanish
supieron,spanish
aspectos,spanish
hermosa,spanish
valientes,spanish
chose,french
suivant,french
prediction,french
codes,french
pierre,french
pangloss,french
tante,french
acheter,french
amour,french
instructions,french
tasses,french
fidelement,french
tomber,french
inquisiteur,french
creees,french
reconnaissant,french
parce,french
appellent,french
renoncer,french
reussisse,french
reveler,french
brillait,french
pouvoir,french
meilleur,french
maladroitement,french
aider,french
concus,french
involontairement,french
merveilles,french
fonde,french
recula,french
presque,french
defis,french
devait,french
seigneur,french
travers,french
capables,french
connu,french
complexite,french
restait,french
soient,french
modele,french
automatique,french
appele,french
decrite,french
quotidien,french
rester,french
abareens,french
compassion,french
illumina,french
intellectuelle,french
rendit,french
roles,french
seront,french
cachee,french
trouva,french
spacieux,french
texte,french
marchait,french
faisais,french
entre,french
ferme,french
traite,french
influences,french
structures,french
enchevetrement,french
violee,french
devenue,french
beaux,french
similaires,french
scintillantes,french
etablissaient,french
juste,french
jaime,french
minuscule,french
appris,french
robes,french
relations,french
habitee,french
facher,french
lumiere,french
francais,french
probabilite,french
entendu,french
isabel,french
billy,french
abandonner,french
souhaitait,french
innee,french
larmes,french
celle,french
chaque,french
avoir,french
elegante,french
temps,french
permet,french
jardin,french
ensemble,french
revenus,french
viendront,french
representent,french
cours,french
quelque,french
parfaitement,french
simple,french
vivait,french
voulais,french
caresses,french
chaleur,french
science,french
limites,french
malgre,french
construire,french
conduisit,french
ressentait,french
choisi,french
modeles,french
relie,french
pousser,french
capacite,french
animes,french
etres,french
sortes,french
chiffres,french
propre,french
journee,french
semblait,french
brackenbury,french
caressait,french
situation,french
naviguer,french
simulations,french
sentiments,french
habituee,french
blottissait,french
soldats,french
predire,french
espagnole,french
seule,french
sonne,french
defendre,french
ressentit,french
neuronal,french
maison,french
trouvait,french
personne,french
epoque,french
furent,french
partager,french
prendre,french
aussi,french
laissant,french
incomprehensible,french
renonca,french
chasser,french
moins,french
telle,french
histoire,french
voyages,french
curiosite,french
abandonnes,french
aussitot,french
peaslee,french
etaient,french
partie,french
quantites,french
petit,french
glissait,french
parles,french
decouvert,french
fermement,french
curieuse,french
appel,french
voulait,french
maniere,french
geree,french
vinaigrette,french
moitie,french
liste,french
pouvais,french
simplement,french
regard,french
entouree,french
venue,french
points,french
mendiant,french
connaissance,french
langage,french
tourne,french
avons,french
reseau,french
semble,french
amicaux,french
boussole,french
lorsque,french
etait,french
secoua,french
reponse,french
reflechit,french
brise,french
grandes,french
heure,french
enthousiaste,french
faire,french
nettoyage,french
aventures,french
terrain,french
samedi,french
avancee,french
charges,french
magnifique,french
petite,french
valsait,french
travail,french
resolution,french
annonce,french
laissa,french
montrant,french
sorte,french
apres,french
soignes,french
femme,french
montrait,french
reconnut,french
ayant,french
simuler,french
demarquait,french
inherentes,french
conversation,french
affaires,french
esprit,french
pauvre,french
vaswani,french
trembler,french
pionnier,french
alimentes,french
boutonnieres,french
taches,french
differente,french
integrant,french
quelle,french
candide,french
voisines,french
toussa,french
fowler,french
levres,french
revenant,french
chercher,french
chenes,french
melodie,french
espagnol,french
qualites,french
introduit,french
gerer,french
artificielles,french
tenait,french
cette,french
partage,french
trousseau,french
intelligences,french
souhait,french
commence,french
decouvraient,french
chemise,french
presence,french
subvenir,french
malheur,french
idees,french
missionnaire,french
journal,french
anabaptiste,french
tellement,french
dorees,french
affinant,french
existence,french
differences,french
fabuleuse,french
avenir,french
cristal,french
machines,french
grace,french
evolution,french
savait,french
devrais,french
baker,french
tandis,french
learning,french
professeur,french
membres,french
succombe,french
apparut,french
compte,french
ecole,french
cheville,french
coupee,french
accompagne,french
nature,french
trouve,french
emmenait,french
chair,french
tourte,french
persuader,french
repliqua,french
ville,french
concevaient,french
nombres,french
soleil,french
desir,french
apporta,french
conserva,french
tapisserie,french
rivieres,french
utilises,french
voyant,french
pertinent,french
styles,french
besoins,french
memoire,french
protegees,french
conscience,french
lignes,french
protege,french
longtemps,french
magnifiques,french
techniques,french
terrifiant,french
repondit,french
constamment,french
souvent,french
suite,french
chacun,french
consciente,french
demandait,french
quittant,french
royaume,french
programmation,french
celles,french
suffisante,french
beaute,french
devenus,french
nourriture,french
commenca,french
sommeil,french
ressentir,french
ardents,french
lance,french
savez,french
raison,french
faisaient,french
laquelle,french
determination,french
rafraichi,french
toujours,french
faible,french
surpassant,french
hasard,french
croissance,french
espagnols,french
nouveau,french
exactement,french
decouvrit,french
major,french
eliminer,french
montrerait,french
termine,french
assise,french
genre,french
mademoiselle,french
cause,french
reste,french
retrouvee,french
nombreuses,french
emmener,french
trouves,french
douce,french
ancien,french
baronnie,french
plaisir,french
strategie,french
utilisent,french
sensibles,french
limitations,french
plantant,french
intriguee,french
algorithme,french
comme,french
compris,french
observait,french
relation,french
autres,french
apprendre,french
projet,french
abandonnee,french
pouvait,french
textes,french
choses,french
passa,french
consolateur,french
vieil,french
semblaient,french
trouver,french
ailes,french
serait,french
devant,french
utilisant,french
ferai,french
sequoias,french
morceau,french
passer,french
enfin,french
repandit,french
necessitant,french
autre,french
avance,french
liens,french
ainsi,french
image,french
tumultueuse,french
arbre,french
machine,french
moyens,french
societe,french
mecanismes,french
vivre,french
illuminee,french
jouer,french
pendant,french
devaient,french
variees,french
froids,french
terme,french
demenagea,french
formulation,french
repetait,french
vecut,french
eleve,french
proposee,french
bonne,french
intellis,french
gagnant,french
entrelacent,french
concerne,french
simule,french
libere,french
notre,french
capable,french
confortablement,french
radieux,french
donnerait,french
apporte,french
beaucoup,french
voisins,french
crees,french
perroquet,french
couchait,french
matrices,french
suffira,french
representation,french
complexes,french
revenu,french
front,french
repondre,french
volonte,french
premiere,french
revant,french
contentaient,french
elevee,french
magiques,french
spectre,french
exprime,french
caracteristiques,french
quant,french
travaux,french
pionniers,french
affreuse,french
rentrait,french
appartenait,french
desormais,french
soutenir,french
reflexion,french
monde,french
vivantes,french
resoudre,french
mysterieux,french
blanches,french
artificielle,french
poulet,french
differents,french
aucune,french
rendre,french
quelques,french
apprecier,french
repondu,french
curieux,french
rouvrit,french
grammaire,french
premier,french
neurones,french
jeunes,french
croute,french
fascinantes,french
boite,french
verras,french
donnees,french
reussi,french
enfants,french
linguistique,french
indescriptible,french
alors,french
laborieusement,french
commencait,french
morceaux,french
toucha,french
ancienne,french
adoptes,french
courageux,french
sentiment,french
magique,french
travailler,french
creer,french
parente,french
verse,french
reunion,french
sourires,french
tendre,french
emotion,french
lumieres,french
sourit,french
pense,french
docteur,french
tordu,french
belle,french
laisse,french
avait,french
arene,french
couleurs,french
systeme,french
secher,french
croyait,french
questionner,french
rappelle,french
demander,french
courir,french
jamais,french
passait,french
reduit,french
profonde,french
variete,french
peser,french
maladie,french
miserable,french
evanoui,french
humains,french
initiatique,french
elegantes,french
nuits,french
bases,french
question,french
volumes,french
force,french
generer,french
plusieurs,french
rejouit,french
conservateur,french
utilise,french
transformers,french
decida,french
envoyes,french
doigts,french
couture,french
hester,french
vastes,french
rideau,french
assez,french
veritables,french
leurs,french
nager,french
programmait,french
toutes,french
profond,french
special,french
langues,french
maintenant,french
article,french
racines,french
avant,french
transformant,french
engagee,french
parmi,french
principale,french
apporter,french
suffisamment,french
acquisition,french
vendu,french
classificateur,french
milieu,french
entierement,french
quand,french
doree,french
depuis,french
